# Gen Frequency (Hz), Gen Level (dBm), SA Level (dBm), Osc Voltage (V)
2.000000000000000000e+09,-3.333333333333333037e+00,-9.693686485290527344e+00,-4.382603125000000745e-05
2.000000000000000000e+09,-4.166666666666666075e+00,-1.055044078826904297e+01,-1.065771093750000030e-04
2.000000000000000000e+09,-5.000000000000000000e+00,-1.137721157073974609e+01,-1.466203749999999946e-04
2.000000000000000000e+09,-5.833333333333333037e+00,-1.221386241912841797e+01,-1.738919062500000304e-04
2.000000000000000000e+09,-6.666666666666666075e+00,-1.305567836761474609e+01,-1.974732499999999884e-04
2.000000000000000000e+09,-7.500000000000000000e+00,-1.388233852386474609e+01,-2.129438437500000140e-04
2.000000000000000000e+09,-8.333333333333333925e+00,-1.474702739715576172e+01,-2.324610312500000335e-04
2.000000000000000000e+09,-9.166666666666666075e+00,-1.557578945159912109e+01,-2.239018281249999806e-04
2.000000000000000000e+09,-1.000000000000000000e+01,-1.641109466552734375e+01,-2.256749687500000131e-04
2.500000000000000000e+09,1.500000000000000000e+01,9.309835433959960938e+00,3.073481750000000567e-01
2.500000000000000000e+09,1.416666666666666785e+01,8.459188461303710938e+00,2.669979749999999430e-01
2.500000000000000000e+09,1.333333333333333570e+01,7.373692989349365234e+00,2.233479000000000159e-01
2.500000000000000000e+09,1.250000000000000000e+01,6.528367519378662109e+00,1.952698265625000262e-01
2.500000000000000000e+09,1.166666666666666785e+01,5.686704158782958984e+00,1.676211140624999929e-01
2.500000000000000000e+09,1.083333333333333570e+01,4.838803768157958984e+00,1.419952781250000129e-01
2.500000000000000000e+09,1.000000000000000000e+01,3.984071493148803711e+00,1.207403078124999890e-01
2.500000000000000000e+09,9.166666666666667851e+00,3.113591909408569336e+00,1.004558671875000059e-01
2.500000000000000000e+09,8.333333333333335702e+00,2.264009237289428711e+00,8.395514843750000178e-02
2.500000000000000000e+09,7.500000000000000000e+00,1.399842977523803711e+00,6.797390156249999427e-02
2.500000000000000000e+09,6.666666666666667851e+00,5.296761989593505859e-01,5.467506796874999769e-02
2.500000000000000000e+09,5.833333333333333925e+00,-3.347418606281280518e-01,4.337560031250000531e-02
2.500000000000000000e+09,5.000000000000000000e+00,-1.190925836563110352e+00,3.294163093750000076e-02
2.500000000000000000e+09,4.166666666666667851e+00,-2.080951929092407227e+00,2.425794187500000115e-02
2.500000000000000000e+09,3.333333333333333925e+00,-2.952133417129516602e+00,1.712968671875000209e-02
2.500000000000000000e+09,2.500000000000000000e+00,-3.819408655166625977e+00,1.150836609375000159e-02
2.500000000000000000e+09,1.666666666666667851e+00,-4.685532093048095703e+00,7.278356562500001153e-03
2.500000000000000000e+09,8.333333333333339255e-01,-5.559444904327392578e+00,4.316342187500000691e-03
2.500000000000000000e+09,0.000000000000000000e+00,-6.418907642364501953e+00,2.355521499999999914e-03
2.500000000000000000e+09,-8.333333333333321491e-01,-7.273396015167236328e+00,1.182551453124999980e-03
2.500000000000000000e+09,-1.666666666666666075e+00,-8.089076995849609375e+00,5.245674531249999587e-04
2.500000000000000000e+09,-2.500000000000000000e+00,-8.925228118896484375e+00,1.747205625000000098e-04
2.500000000000000000e+09,-3.333333333333333037e+00,-9.769927978515625000e+00,-1.127453125000000114e-06
2.500000000000000000e+09,-4.166666666666666075e+00,-1.061655807495117188e+01,-8.431907812500000318e-05
2.500000000000000000e+09,-5.000000000000000000e+00,-1.145367050170898438e+01,-1.620012343750000354e-04
2.500000000000000000e+09,-5.833333333333333037e+00,-1.228307723999023438e+01,-1.971030000000000405e-04
2.500000000000000000e+09,-6.666666666666666075e+00,-1.313344192504882812e+01,-2.149621718750000107e-04
2.500000000000000000e+09,-7.500000000000000000e+00,-1.400163650512695312e+01,-2.233258906250000129e-04
2.500000000000000000e+09,-8.333333333333333925e+00,-1.482036209106445312e+01,-2.297215000000000400e-04
2.500000000000000000e+09,-9.166666666666666075e+00,-1.567125320434570312e+01,-2.466492656249999580e-04
2.500000000000000000e+09,-1.000000000000000000e+01,-1.650632476806640625e+01,-2.430566875000000297e-04
3.000000000000000000e+09,1.500000000000000000e+01,5.002460956573486328e+00,1.437590906250000022e-01
3.000000000000000000e+09,1.416666666666666785e+01,4.149075031280517578e+00,1.225463624999999918e-01
3.000000000000000000e+09,1.333333333333333570e+01,3.291756391525268555e+00,1.020875851562499936e-01
3.000000000000000000e+09,1.250000000000000000e+01,2.402763128280639648e+00,8.444907812500000721e-02
3.000000000000000000e+09,1.166666666666666785e+01,1.517655014991760254e+00,6.833902734374999732e-02
3.000000000000000000e+09,1.083333333333333570e+01,6.435659527778625488e-01,5.498656484375000902e-02
3.000000000000000000e+09,1.000000000000000000e+01,-2.928212583065032959e-01,4.345788437500000545e-02
3.000000000000000000e+09,9.166666666666667851e+00,-2.447492837905883789e+00,2.144190250000000200e-02
3.000000000000000000e+09,8.333333333333335702e+00,-3.332825899124145508e+00,1.494560921875000108e-02
3.000000000000000000e+09,7.500000000000000000e+00,-4.186445236206054688e+00,1.002251695312499948e-02
3.000000000000000000e+09,6.666666666666667851e+00,-5.103002071380615234e+00,6.218453593750000209e-03
3.000000000000000000e+09,5.833333333333333925e+00,-5.964505672454833984e+00,3.630658343750000402e-03
3.000000000000000000e+09,5.000000000000000000e+00,-6.848737239837646484e+00,1.962399453124999849e-03
3.000000000000000000e+09,4.166666666666667851e+00,-7.690988540649414062e+00,9.503225625000001099e-04
3.000000000000000000e+09,3.333333333333333925e+00,-8.540941238403320312e+00,4.023785000000000100e-04
3.000000000000000000e+09,2.500000000000000000e+00,-9.373269081115722656e+00,1.240547656249999919e-04
3.000000000000000000e+09,1.666666666666667851e+00,-1.022900104522705078e+01,-2.528325000000000226e-05
3.000000000000000000e+09,8.333333333333339255e-01,-1.109536075592041016e+01,-1.034025624999999990e-04
3.000000000000000000e+09,0.000000000000000000e+00,-1.191788578033447266e+01,-1.443256562500000320e-04
3.000000000000000000e+09,-8.333333333333321491e-01,-1.276151752471923828e+01,-1.773946875000000068e-04
3.000000000000000000e+09,-1.666666666666666075e+00,-1.358887195587158203e+01,-1.880474062500000273e-04
3.000000000000000000e+09,-2.500000000000000000e+00,-1.443573188781738281e+01,-2.095755468750000222e-04
3.000000000000000000e+09,-3.333333333333333037e+00,-1.514883518218994141e+01,-2.123982500000000395e-04
3.000000000000000000e+09,-4.166666666666666075e+00,-1.599119663238525391e+01,-2.222413750000000216e-04
3.000000000000000000e+09,-5.000000000000000000e+00,-1.685189628601074219e+01,-2.052132031250000169e-04
3.000000000000000000e+09,-5.833333333333333037e+00,-1.769632911682128906e+01,-2.145116718750000190e-04
3.000000000000000000e+09,-6.666666666666666075e+00,-1.852766990661621094e+01,-2.252556249999999936e-04
3.000000000000000000e+09,-7.500000000000000000e+00,-1.930905342102050781e+01,-2.127062187499999995e-04
3.000000000000000000e+09,-8.333333333333333925e+00,-2.026459312438964844e+01,-2.273434218750000168e-04
3.000000000000000000e+09,-9.166666666666666075e+00,-2.109454154968261719e+01,-2.346440156249999902e-04
3.000000000000000000e+09,-1.000000000000000000e+01,-2.194125938415527344e+01,-2.306176562500000251e-04
